arac_yasi,km,yillik_km,hasar_skoru,motor_hacmi_cc,motor_gucu_hp,guc_hacim_orani,cekis_enc,kimden_galeri,kimden_bayi,agir_hasarli_evet,takasa_uygun_evet,marka_enc,seri_enc,yakit_tipi_enc,vites_tipi_enc,kasa_tipi_enc,renk_enc,arac_durumu_enc,fiyat_log,fiyat
16.0,165000.0,10312.5,2,1329.0,100.0,0.07524454477050414,0,0,0,0,0,66,479,0,0,4,15,3,13.265599278590988,577000.0
16.0,113000.0,7062.5,0,1329.0,100.0,0.07524454477050414,0,0,0,0,1,66,479,0,0,4,7,3,13.579789490265188,790000.0
16.0,224000.0,14000.0,11,1329.0,100.0,0.07524454477050414,0,0,0,0,0,66,479,0,0,4,3,3,13.26212705890841,575000.0
29.0,252000.0,8689.655172413793,6,1332.0,75.0,0.05630630630630631,0,0,0,0,0,66,446,4,1,4,13,3,12.959846800844963,425000.0
28.0,277000.0,9892.857142857143,0,1332.0,75.0,0.05630630630630631,0,0,0,0,0,66,446,4,1,4,13,3,12.502470376049185,269000.0
28.0,330000.0,11785.714285714286,5,1332.0,75.0,0.05630630630630631,0,0,0,0,0,66,446,0,0,4,11,3,12.59473402514672,295000.0
28.0,215000.0,7678.571428571428,14,1332.0,75.0,0.05630630630630631,0,0,0,0,0,66,446,0,0,3,2,3,12.506180941677357,270000.0
28.0,370000.0,13214.285714285714,0,1332.0,75.0,0.05630630630630631,0,0,0,0,1,66,446,4,1,4,13,3,12.959846800844963,425000.0
28.0,283000.0,10107.142857142857,0,1332.0,75.0,0.05630630630630631,0,0,0,0,0,66,446,4,0,3,2,3,12.345838935721968,230000.0
28.0,305000.0,10892.857142857143,4,1332.0,75.0,0.05630630630630631,0,0,0,0,0,66,446,4,1,4,13,3,12.206077645517674,200000.0
28.0,227000.0,8107.142857142857,0,1332.0,75.0,0.05630630630630631,0,0,0,0,0,66,446,0,0,3,22,3,12.644330802262578,310000.0
28.0,218000.0,7785.714285714285,0,1332.0,75.0,0.05630630630630631,0,0,0,0,0,66,446,4,0,4,21,3,12.206077645517674,200000.0
28.0,330000.0,11785.714285714286,0,1200.0,105.0,0.07179487179487179,0,0,0,0,1,66,446,4,0,4,21,3,12.367345048436391,235000.0
28.0,345000.0,12321.42857142857,1,1332.0,75.0,0.05630630630630631,0,0,0,0,0,66,446,4,0,4,11,3,12.560247968016562,285000.0
28.0,319000.0,11392.857142857143,2,1332.0,75.0,0.05630630630630631,0,0,0,0,1,66,446,4,1,4,21,3,12.487488878546145,265000.0
28.0,317000.0,11321.42857142857,0,1332.0,75.0,0.05630630630630631,0,0,0,0,0,66,446,0,0,4,2,3,12.611541086966115,300000.0
28.0,202000.0,7214.285714285715,0,1364.0,90.0,0.06598240469208211,0,0,0,0,0,66,446,0,0,4,13,3,12.436791432162119,251900.0
28.0,361100.0,12896.42857142857,0,1332.0,75.0,0.05630630630630631,0,0,0,0,0,66,446,4,1,4,22,3,12.506180941677357,270000.0
16.0,194000.0,12125.0,0,1798.0,99.0,0.05506117908787542,0,0,0,0,0,66,373,3,1,4,18,3,13.681980308196241,875000.0
43.0,290000.0,6744.186046511628,0,1499.0,100.0,0.07179487179487179,0,0,0,0,0,66,195,4,0,9,2,3,11.775297421715827,130000.0
22.0,466000.0,21181.81818181818,13,998.0,65.0,0.06513026052104208,0,1,0,0,0,66,510,0,0,4,6,3,12.468440756144114,260000.0
10.0,120000.0,12000.0,0,1329.0,99.0,0.0744920993227991,0,0,0,1,1,66,510,4,1,4,11,3,13.652992804936396,850000.0
16.0,250000.0,15625.0,9,1329.0,101.0,0.07599699021820917,0,0,0,1,0,66,510,4,0,4,7,3,13.07107218827772,475000.0
14.0,190000.0,13571.42857142857,0,1499.0,105.0,0.07179487179487179,0,0,0,0,0,66,510,0,0,4,11,3,13.122365377402328,500000.0
18.0,180000.0,10000.0,9,998.0,69.0,0.06913827655310621,0,0,0,0,0,66,510,0,2,4,8,3,13.279368835614243,585000.0
19.0,240000.0,12631.578947368422,7,1364.0,90.0,0.06598240469208211,0,0,0,0,0,66,510,1,0,4,7,3,12.834683971615659,375000.0
18.0,280000.0,15555.555555555555,4,1296.0,87.0,0.06712962962962964,0,0,0,0,0,66,510,0,0,4,5,3,13.081543466215237,480000.0
14.0,244000.0,17428.571428571428,10,1329.0,99.0,0.0744920993227991,0,0,0,0,1,66,510,0,1,4,2,3,13.493928313146206,725000.0
10.0,114000.0,11400.0,8,1499.0,105.0,0.07179487179487179,0,0,0,0,0,66,510,0,0,4,12,3,13.3374763699232,620000.0
19.0,161248.0,8486.736842105263,9,1296.0,87.0,0.06712962962962964,0,0,0,0,0,66,510,0,0,4,7,3,13.190023895035274,535000.0
21.0,210000.0,10000.0,13,1296.0,87.0,0.06712962962962964,0,0,0,0,1,66,510,0,0,4,11,3,12.923914877701906,410000.0
17.0,242000.0,14235.29411764706,3,1364.0,105.0,0.07179487179487179,0,0,0,0,0,66,510,1,0,4,6,3,12.971542813248437,430000.0
16.0,195000.0,12187.5,3,998.0,69.0,0.06913827655310621,0,0,0,0,0,66,510,0,0,4,18,3,12.971542813248437,430000.0
9.0,93000.0,10333.333333333334,2,1329.0,99.0,0.0744920993227991,0,0,0,0,0,66,510,4,1,4,2,3,13.955273369904273,1150000.0
17.0,294000.0,17294.117647058825,6,1364.0,90.0,0.06598240469208211,0,0,0,0,0,66,510,1,0,4,7,3,13.451668563394815,695000.0
12.0,95000.0,7916.666666666667,0,1329.0,99.0,0.0744920993227991,0,0,0,0,0,66,510,0,1,4,14,3,13.955273369904273,1150000.0
14.0,156350.0,11167.857142857143,8,1329.0,99.0,0.0744920993227991,0,0,0,1,0,66,510,0,1,4,2,3,13.527829818844937,750000.0
19.0,400000.0,21052.63157894737,10,1364.0,90.0,0.06598240469208211,0,0,0,0,1,66,510,1,2,4,7,3,13.063676501944174,471500.0
19.0,304000.0,16000.0,0,1364.0,90.0,0.06598240469208211,0,0,0,0,0,66,510,1,0,4,18,3,12.703816069256568,329000.0
20.0,187000.0,9350.0,14,1296.0,87.0,0.06712962962962964,0,0,0,1,0,66,510,4,2,4,7,3,13.112315061750808,495000.0
16.0,162080.0,10130.0,0,1329.0,105.0,0.07179487179487179,0,0,0,0,0,66,510,4,0,4,8,3,13.304686600863562,600000.0
21.0,219000.0,10428.57142857143,6,998.0,69.0,0.06913827655310621,0,0,0,0,0,66,510,0,0,4,2,3,12.923914877701906,410000.0
11.0,112500.0,10227.272727272728,4,1497.0,75.0,0.050100200400801605,0,0,0,0,0,66,510,3,1,4,2,3,13.815511557963774,1000000.0
21.0,248000.0,11809.52380952381,11,998.0,69.0,0.06913827655310621,0,0,0,0,0,66,510,0,2,4,7,3,12.971542813248437,430000.0
21.0,186500.0,8880.952380952382,5,998.0,69.0,0.06913827655310621,0,0,0,0,0,66,510,0,0,4,7,3,12.807655372286902,365000.0
18.0,177400.0,9855.555555555555,8,1296.0,87.0,0.06712962962962964,0,0,0,0,0,66,510,4,0,3,6,3,13.1421679654829,510000.0
11.0,96000.0,8727.272727272728,4,998.0,69.0,0.06913827655310621,0,0,0,0,0,66,510,0,0,4,23,3,13.444448325847754,690000.0
19.0,226200.0,11905.263157894737,4,1364.0,90.0,0.06598240469208211,0,0,0,0,0,66,510,1,0,4,18,3,12.873904582205107,390000.0
18.0,261000.0,14500.0,0,1364.0,90.0,0.06598240469208211,0,0,0,0,0,66,510,1,0,4,6,3,12.948012371209098,420000.0
15.0,150000.0,10000.0,1,1296.0,105.0,0.07179487179487179,0,0,0,0,0,66,510,0,1,4,2,3,13.573440270649085,785000.0
8.0,121000.0,15125.0,0,1496.0,111.0,0.07419786096256685,0,0,0,0,0,66,510,0,1,4,3,3,13.98525417643287,1185000.0
16.0,200005.0,12500.3125,8,1329.0,101.0,0.07599699021820917,0,0,0,0,0,66,510,0,2,4,5,3,13.384729180332174,650000.0
19.0,177800.0,9357.894736842105,7,1296.0,87.0,0.06712962962962964,0,0,0,0,0,66,510,0,0,4,6,3,13.081543466215237,480000.0
19.0,195000.0,10263.157894736842,12,998.0,69.0,0.06913827655310621,0,0,0,1,0,66,510,4,0,4,7,3,12.80216086806413,363000.0
7.0,86000.0,12285.714285714286,6,1496.0,111.0,0.07419786096256685,0,0,0,0,0,66,510,0,1,4,2,3,13.910821646859095,1100000.0
9.0,234000.0,26000.0,4,1497.0,74.0,0.049432197728790914,0,0,0,0,0,66,510,3,1,4,2,3,13.647093089770562,845000.0
14.0,132000.0,9428.57142857143,0,1329.0,99.0,0.0744920993227991,0,0,0,0,0,66,510,0,1,4,2,3,13.76421831620775,950000.0
20.0,140000.0,7000.0,4,1298.0,87.0,0.06702619414483821,0,0,0,0,0,66,510,0,0,4,4,3,13.081543466215237,480000.0
15.0,104000.0,6933.333333333333,4,1329.0,101.0,0.07599699021820917,0,0,0,0,0,66,510,0,2,4,11,3,13.541075028051122,760000.0
11.0,99990.0,9090.0,4,998.0,69.0,0.06913827655310621,0,0,0,0,1,66,510,0,0,4,11,3,13.444448325847754,690000.0
18.0,150000.0,8333.333333333334,3,998.0,69.0,0.06913827655310621,0,0,0,0,0,66,510,0,0,4,7,3,13.038983942375959,460000.0
